hygro;temperature;date;heure;hygro_lissee;hygro_Bis;hygro_Ter;temperature_lissee;temperature_Bis;temperature_Ter
74.9;18.21;2023-11-10;07:50:01;74.5345475;76.09709;72.972005;18.2689375;18.30366;18.234215
74.7;18.22;2023-11-10;07:50:02;74.53338249999999;76.09603999999999;72.97072499999999;18.268922500000002;18.30357;18.234275
74.7;18.21;2023-11-10;07:50:03;74.53233500000002;76.09514;72.96953000000002;18.2688975;18.30347;18.234325000000002
74.8;18.21;2023-11-10;07:50:04;74.53126;76.09419;72.96833000000001;18.268877500000002;18.303375;18.23438
74.6;18.2;2023-11-10;07:50:05;74.53014000000002;76.09319;72.96709000000001;18.2688525;18.30327;18.234435
74.6;18.22;2023-11-10;07:50:06;74.52902;76.09209000000001;72.96594999999999;18.268832500000002;18.30317;18.234495
74.6;18.19;2023-11-10;07:50:07;74.52794750000001;76.09109;72.96480500000001;18.268805;18.303065000000004;18.234545
74.7;18.22;2023-11-10;07:50:08;74.52685;76.09003999999999;72.96366;18.2687925;18.302975;18.23461
74.4;18.22;2023-11-10;07:50:09;74.5256525;76.08883999999999;72.96246500000001;18.2687675;18.302875;18.234659999999998
74.4;18.2;2023-11-10;07:50:10;74.52458;76.08774;72.96142;18.2687375;18.302765;18.23471
74.2;18.22;2023-11-10;07:50:11;74.5234525;76.08654;72.96036500000001;18.2687175;18.302670000000003;18.234765
74.2;18.2;2023-11-10;07:50:12;74.5223775;76.08534000000002;72.959415;18.2686925;18.302575;18.234810000000003
74.2;18.2;2023-11-10;07:50:13;74.5212975;76.08414;72.958455;18.268667500000003;18.302465;18.234870000000004
74.1;18.2;2023-11-10;07:50:14;74.52014749999998;76.08278999999999;72.95750499999998;18.2686425;18.302355;18.23493
74.2;18.21;2023-11-10;07:50:15;74.5190475;76.08149;72.95660500000001;18.26862;18.302245;18.234994999999998
74.3;18.21;2023-11-10;07:50:16;74.51799749999999;76.08033999999999;72.955655;18.2685925;18.302139999999998;18.235045000000003
74.0;18.2;2023-11-10;07:50:17;74.516795;76.07894;72.95465000000002;18.26857;18.302039999999998;18.235100000000003
74.2;18.21;2023-11-10;07:50:18;74.51576500000002;76.07774;72.95379000000001;18.268555;18.301945;18.235165000000002
74.1;18.22;2023-11-10;07:50:19;74.5146575;76.07648999999999;72.95282499999999;18.2685375;18.301855;18.23522
74.0;18.22;2023-11-10;07:50:20;74.513525;76.07514;72.95191;18.2685175;18.301765;18.23527
74.1;18.21;2023-11-10;07:50:21;74.51247000000001;76.07389;72.95105000000001;18.268497499999995;18.301669999999998;18.235324999999996
73.98;18.24;2023-11-10;07:50:22;74.5113575;76.07258;72.95013499999999;18.268480000000004;18.301585000000003;18.235375
74.2;18.22;2023-11-10;07:50:23;74.510335;76.07137999999999;72.94929;18.268449999999998;18.301479999999998;18.235419999999998
73.99;18.22;2023-11-10;07:50:24;74.50919999999999;76.070075;72.948325;18.2684275;18.301389999999998;18.235465
74.0;18.2;2023-11-10;07:50:25;74.50815250000001;76.068825;72.94748000000001;18.2683975;18.301275;18.23552
74.2;18.21;2023-11-10;07:50:26;74.50712000000001;76.067625;72.94661500000001;18.26838;18.301185;18.235575
74.0;18.22;2023-11-10;07:50:27;74.50601499999999;76.066375;72.945655;18.268367500000004;18.3011;18.235635000000002
74.0;18.24;2023-11-10;07:50:28;74.50493999999999;76.065075;72.94480499999999;18.268347499999997;18.301015;18.23568
74.2;18.22;2023-11-10;07:50:29;74.5039125;76.063875;72.94395;18.268325;18.30092;18.23573
74.2;18.22;2023-11-10;07:50:30;74.50288749999999;76.06277499999999;72.943;18.2683075;18.30083;18.235785
74.2;18.2;2023-11-10;07:50:32;74.5018125;76.06157499999999;72.94205000000001;18.268277499999996;18.300725;18.235829999999996
74.2;18.2;2023-11-10;07:50:33;74.5007325;76.060375;72.94109;18.268255000000003;18.300625;18.235885000000003
74.0;18.2;2023-11-10;07:50:34;74.49963249999999;76.059125;72.94014;18.268237499999998;18.300525;18.23595
74.0;18.22;2023-11-10;07:50:35;74.4985825;76.057875;72.93929000000001;18.26822;18.300435;18.236005000000002
74.1;18.2;2023-11-10;07:50:36;74.4975575;76.05667499999998;72.93844;18.268189999999997;18.30033;18.23605
74.0;18.21;2023-11-10;07:50:37;74.49645999999998;76.05537499999998;72.937545;18.2681775;18.300235;18.236120000000003
73.98;18.21;2023-11-10;07:50:38;74.4953775;76.05406500000001;72.93669;18.2681525;18.300134999999997;18.236169999999998
73.98;18.2;2023-11-10;07:50:39;74.4943025;76.052755;72.93584999999999;18.2681275;18.300025;18.23623
73.98;18.22;2023-11-10;07:50:40;74.493225;76.05144499999999;72.935005;18.2681075;18.299929999999996;18.236285
73.97;18.21;2023-11-10;07:50:41;74.4921175;76.05008;72.934155;18.2680775;18.29982;18.236335
73.96;18.22;2023-11-10;07:50:42;74.49103500000001;76.04876000000002;72.93330999999999;18.268057499999998;18.29973;18.236385
73.94;18.22;2023-11-10;07:50:43;74.48993;76.04738;72.93248;18.268034999999998;18.29964;18.23643
73.93;18.21;2023-11-10;07:50:44;74.48885250000001;76.04604499999999;72.93166000000001;18.268012499999998;18.299539999999997;18.236485000000002
73.93;18.2;2023-11-10;07:50:45;74.48775;76.04466000000001;72.93084000000002;18.2679925;18.299435000000003;18.236549999999998
73.94;18.2;2023-11-10;07:50:46;74.4866775;76.04333;72.930025;18.267967499999997;18.299325;18.23661
73.92;18.2;2023-11-10;07:50:47;74.4855925;76.04199;72.92919499999999;18.2679475;18.299220000000002;18.236674999999998
73.91;18.21;2023-11-10;07:50:48;74.48451;76.04064499999998;72.928375;18.267937500000002;18.29913;18.236745
73.89;18.21;2023-11-10;07:50:49;74.48342249999999;76.03929;72.927555;18.26791;18.299025;18.236795
73.89;18.24;2023-11-10;07:50:50;74.482365;76.03798499999999;72.92674500000001;18.267895000000003;18.29895;18.23684
73.91;18.22;2023-11-10;07:50:51;74.481285;76.03664;72.92593;18.26786;18.298845;18.236875
